timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729816166689,586,Formulario-textbox-89-0,301,Moved Permanently,Usuarios 1-85,text,true,,391,281,980,980,http://demoqa.com/text-box,586,0,275
1729816167275,2642,Formulario-textbox-89-1,200,OK,Usuarios 1-85,text,true,,3436,116,980,980,https://demoqa.com/text-box,2642,0,1274
1729816166675,3242,Formulario-textbox-82,200,OK,Usuarios 1-84,text,true,,3827,397,978,978,https://demoqa.com/text-box,602,0,290
1729816166675,602,Formulario-textbox-82-0,301,Moved Permanently,Usuarios 1-84,text,true,,391,281,978,978,http://demoqa.com/text-box,602,0,290
1729816167278,2639,Formulario-textbox-82-1,200,OK,Usuarios 1-84,text,true,,3436,116,978,978,https://demoqa.com/text-box,2639,0,1271
1729816166797,3121,Formulario-textbox-127,200,OK,Usuarios 1-124,text,true,,3827,397,977,977,https://demoqa.com/text-box,604,0,235
1729816166797,604,Formulario-textbox-127-0,301,Moved Permanently,Usuarios 1-124,text,true,,391,281,977,977,http://demoqa.com/text-box,604,0,235
1729816167401,2517,Formulario-textbox-127-1,200,OK,Usuarios 1-124,text,true,,3436,116,977,977,https://demoqa.com/text-box,2517,0,1148
1729816166748,3170,Formulario-textbox-112,200,OK,Usuarios 1-112,text,true,,3827,401,976,976,https://demoqa.com/text-box,619,0,252
1729816166596,3322,Formulario-textbox-23,200,OK,Usuarios 1-23,text,true,,3827,404,976,976,https://demoqa.com/text-box,598,0,302
1729816166748,619,Formulario-textbox-112-0,301,Moved Permanently,Usuarios 1-112,text,true,,391,285,976,976,http://demoqa.com/text-box,619,0,252
1729816166596,598,Formulario-textbox-23-0,301,Moved Permanently,Usuarios 1-23,text,true,,391,288,976,976,http://demoqa.com/text-box,598,0,302
1729816167367,2551,Formulario-textbox-112-1,200,OK,Usuarios 1-112,text,true,,3436,116,976,976,https://demoqa.com/text-box,2551,0,1182
1729816167194,2724,Formulario-textbox-23-1,200,OK,Usuarios 1-23,text,true,,3436,116,976,976,https://demoqa.com/text-box,2724,0,1357
1729816166769,3150,Formulario-textbox-119,200,OK,Usuarios 1-120,text,true,,3827,396,974,974,https://demoqa.com/text-box,631,0,232
1729816166769,631,Formulario-textbox-119-0,301,Moved Permanently,Usuarios 1-120,text,true,,391,280,974,974,http://demoqa.com/text-box,631,0,232
